Gymnasium Johanneum Ostbevern,Stundenplan 2020/21,,,,,,,Untis 2021
Do-2,L7a,KsK,3.01,L7b,Bm,3.24,F7a,Lac,3.06,F7b,Vs,1.02
Do-3,,,,,MU,Ku,MuRa,,,,,
Do-4,,,,,MU,Ku,MuRa,,,,,
Do-5,,,,,SP,Wan,Bad,,,,,
Do-6,,,,,SP,Wan,Bad,,,,,
Do-7,,,,,,,,,,,,
Do-8,,,,KR,KlB,3.01,ER,Fm,3.13,,,
Do-9,,,,KR,KlB,3.01,ER,Fm,7.07,,,
Fr-1,,,,,M,Me,3.01,,,,,
Fr-2,L7a,KsK,3.04,L7b,Bm,3.24,F7a,Lac,3.06,F7b,Vs,1.02
Fr-3,,,,,E5,Dr,3.01,,,,,
Fr-4,,,,,E5,Dr,3.01,,,,,
Fr-5,,,,,D,Lü,3.01,,,,,
Fr-6,,,,,D,Lü,3.01,,,,,
Fr-7,,,,,,,,,,,,
Fr-8,,,,,,,,,,,,
Fr-9,,,,,,,,,,,,
,,,,,Stundenplan21_22neu,,,,,,,
Gymnasium Johanneum Ostbevern,Stundenplan 2020/21,,,,,,,,,,,Untis 2021
"D-48346, Loburg 15",,,,,,,,,,,,16.8.2021 14:51
,,,,,7b / St/Th,,,,,,,
Mo-1,,,,,M,Th,3.24,,,,,
Mo-2,,,,,M,Th,3.24,,,,,
Mo-3,,,,,D,Eng,3.24,,,,,
Mo-4,,,,,D,Eng,3.24,,,,,
Mo-5,,,,,LZ,Eng,3.24,,,,,
Mo-6,,,,,E5,St,3.24,,,,,
Mo-7,,,,,,,,,,,,
Mo-8,,,,,,,,,,,,
Mo-9,,,,,,,,,,,,
Di-1,,,,,MU,Ku,MuRa,,,,,
Di-2,,,,,MU,Ku,MuRa,,,,,
Di-3,,,,,PK,Wei,3.24,,,,,
Di-4,,,,,PK,Wei,3.24,,,,,
Di-5,,,,,CH,Pi,8.04,,,,,
Di-6,,,,,,,,,,,,
Di-7,,,,,LZEKB,Dun,3.24,,,,,
Di-8,,,,,SP,Th,H2,,,,,
Di-9,,,,,SP,Th,H2,,,,,
Mi-1,,,,,KU,Bg,7.09,,,,,
Mi-2,,,,,KU,Bg,7.09,,,,,
Mi-3,,,,,E5,St,3.24,,,,,
Mi-4,,,,,E5,St,3.24,,,,,
Mi-5,,,,,D,Eng,3.24,,,,,
Mi-6,,,,,,,,,,,,
Mi-7,,,,,SP,Th,H1,,,,,
Mi-8,L7a,KsK,3.05,L7b,Bm,3.24,F7a,Lac,3.06,F7b,Vs,3.01
Mi-9,,,,,sozL,St,3.24,,,,,
Do-1,L7a,KsK,3.01,L7b,Bm,3.24,F7a,Lac,3.06,F7b,Vs,1.02
Do-2,L7a,KsK,3.01,L7b,Bm,3.24,F7a,Lac,3.06,F7b,Vs,1.02
Do-3,,,,,D,Eng,3.24,,,,,
Do-4,,,,,CH,Pi,8.04,,,,,
Do-5,,,,,M,Th,3.24,,,,,
Do-6,,,,,M,Th,3.24,,,,,
Do-7,,,,,,,,,,,,
Do-8,,,,KR,KsK,3.24,ER,Fm,3.13,,,
Do-9,,,,KR,KsK,3.24,ER,Fm,7.07,,,
Fr-1,,,,,E5,St,3.24,,,,,
Fr-2,L7a,KsK,3.04,L7b,Bm,3.24,F7a,Lac,3.06,F7b,Vs,1.02
Fr-3,,,,,EKbil,Ho,3.24,,,,,
Fr-4,,,,,EKbil,Ho,3.24,,,,,
Fr-5,,,,,D,Eng,3.24,,,,,
Fr-6,,,,,LZ,Ker,6.02,,,,,
Fr-7,,,,,,,,,,,,
Fr-8,,,,,,,,,,,,
Fr-9,,,,,,,,,,,,
,,,,,Stundenplan21_22neu,,,,,,,
Gymnasium Johanneum Ostbevern,Stundenplan 2020/21,,,,,,,,,,,Untis 2021
"D-48346, Loburg 15",,,,,,,,,,,,16.8.2021 14:51
,,,,,7c / Bo/Schö,,,,,,,
Mo-1,,,,,M,Schö,3.06,,,,,
Mo-2,,,,,M,Schö,3.06,,,,,
Mo-3,,,,,E5,Gi,3.06,,,,,
Mo-4,,,,,E5,Gi,3.06,,,,,
Mo-5,,,,,D,Kru,3.06,,,,,
Mo-6,,,,,D,Kru,3.06,,,,,
Mo-7,,,,,,,,,,,,
Mo-8,,,,,,,,,,,,
Mo-9,,,,,,,,,,,,
Di-1,,,,,M,Schö,3.06,,,,,
Di-2,,,,,M,Schö,3.06,,,,,
Di-3,,,,,D,Kru,3.06,,,,,
Di-4,,,,,D,Kru,3.06,,,,,
Di-5,,,,,LZ,Kru,3.06,,,,,
Di-6,,,,,,,,,,,,
Di-7,,,,,PK,Sche,3.06,,,,,
Di-8,,,,,KU,Mus,7.11,,,,,
Di-9,,,,,KU,Mus,7.11,,,,,
Mi-1,,,,,MU,Frö,MuRa,,,,,
Mi-2,,,,,MU,Frö,MuRa,,,,,
Mi-3,,,,,PK,Sche,3.06,,,,,
Mi-4,,,,,D,Kru,3.06,,,,,
